,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,59082,Bose SoundSport Headphones,12066,"[99.99, 19]",NA,"205 Wilson St, San Francisco, OR 73301"
1,59083,Flatscreen TV,12066,"[300, 7]",NA,"989 Chestnut St, Atlanta, CA 97035"
2,59084,Bose SoundSport Headphones,12066,"[99.99, 19]",NA,"490 Sunset St, Los Angeles, MA 73301"
3,59085,Wired Headphones,12066,"[11.99, 26]",NA,"309 Cherry St, Portland, ME 90001"
4,59086,Bose SoundSport Headphones,12066,"[99.99, 19]",NA,"903 7th St, San Francisco, GA 90001"
5,59087,Lightning Charging Cable,12066,"[14.95, 30]",NA,"435 Dogwood St, Dallas, NY 98101"
6,59088,AA Batteries (4-pack),12066,"[3.84, 30]",NA,"726 Dogwood St, Los Angeles, ME 98101"
7,59089,Vareebadd Phone,12066,"[400, 3]",NA,"899 Johnson St, San Francisco, CA 97035"
8,59090,27in FHD Monitor,12066,"[149.99, 11]",NA,"196 Johnson St, San Francisco, OR 90001"
9,59091,Macbook Pro Laptop,12066,"[1700, 7]",NA,"237 River St, San Francisco, MA 02215"
10,59092,iPhone,12066,"[700, 10]",NA,"894 9th St, Seattle, WA 04101"
11,59093,AAA Batteries (4-pack),12066,"[2.99, 30]",NA,"675 West St, Los Angeles, NY 73301"
12,59094,27in 4K Gaming Monitor,12066,"[389.99, 9]",NA,"984 Lakeview St, Seattle, CA 97035"
13,59095,AA Batteries (4-pack),12066,"[3.84, 30]",NA,"231 Cedar St, New York City, CA 90001"
14,59096,iPhone,12066,"[700, 10]",NA,"481 Sunset St, Seattle, ME 02215"
15,59097,Apple Airpods Headphones,12066,"[150, 22]",NA,"968 Forest St, Portland, NY 90001"
16,59098,Lightning Charging Cable,12066,"[14.95, 30]",NA,"197 6th St, Atlanta, WA 02215"
17,59099,Bose SoundSport Headphones,12066,"[99.99, 19]",NA,"775 Washington St, Boston, ME 90001"
18,59100,Google Phone,12066,"[600, 8]",NA,"467 8th St, New York City, OR 73301"
19,59101,Wired Headphones,12066,"[11.99, 26]",NA,"839 12th St, Dallas, OR 02215"
20,59102,27in FHD Monitor,12066,"[149.99, 11]",NA,"416 Wilson St, Boston, GA 98101"
21,59103,USB-C Charging Cable,12066,"[11.95, 30]",NA,"968 Spruce St, Portland, NY 75001"
22,59104,Apple Airpods Headphones,12066,"[150, 22]",NA,"901 6th St, Boston, OR 94016"
23,59105,AAA Batteries (4-pack),12066,"[2.99, 30]",NA,"813 Maple St, Atlanta, ME 02215"
24,59106,AAA Batteries (4-pack),12066,"[2.99, 30]",NA,"243 Willow St, San Francisco, ME 10001"
25,59107,AAA Batteries (4-pack),12066,"[2.99, 30]",NA,"423 South St, Los Angeles, MA 73301"
26,59108,Bose SoundSport Headphones,12066,"[99.99, 19]",NA,"304 Maple St, San Francisco, CA 94016"
27,59109,Lightning Charging Cable,12066,"[14.95, 30]",NA,"9 Main St, Portland, OR 04101"
28,59110,34in Ultrawide Monitor,12066,"[379.99, 9]",NA,"241 Forest St, New York City, GA 97035"
29,59111,AAA Batteries (4-pack),12066,"[2.99, 30]",NA,"44 Jefferson St, Portland, CA 94016"
30,59112,Lightning Charging Cable,12066,"[14.95, 30]",NA,"520 Meadow St, Austin, CA 98101"
31,59113,AA Batteries (4-pack),12066,"[3.84, 30]",NA,"850 Johnson St, Atlanta, CA 04101"
32,59114,AAA Batteries (4-pack),12066,"[2.99, 30]",NA,"231 Walnut St, Boston, TX 30301"
33,59115,Bose SoundSport Headphones,12066,"[99.99, 19]",NA,"131 Jackson St, Portland, OR 98101"
