,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,108468,Flatscreen TV,5664,"[300, 7]",NA,"451 South St, New York City, WA 75001"
1,108469,USB-C Charging Cable,5664,"[11.95, 30]",NA,"454 Cherry St, New York City, WA 73301"
2,108470,USB-C Charging Cable,5664,"[11.95, 30]",NA,"426 Highland St, Dallas, OR 90001"
3,108471,Apple Airpods Headphones,5664,"[150, 22]",NA,"720 Willow St, San Francisco, NY 94016"
4,108472,Lightning Charging Cable,5664,"[14.95, 30]",NA,"478 Chestnut St, Los Angeles, OR 98101"
5,108473,Lightning Charging Cable,5664,"[14.95, 30]",NA,"978 Walnut St, Boston, WA 02215"
6,108474,AAA Batteries (4-pack),5664,"[2.99, 30]",NA,"670 1st St, Los Angeles, CA 90001"
7,108475,Lightning Charging Cable,5664,"[14.95, 30]",NA,"343 13th St, Seattle, CA 98101"
8,108476,27in 4K Gaming Monitor,5664,"[389.99, 9]",NA,"200 Center St, New York City, ME 02215"
9,108477,USB-C Charging Cable,5664,"[11.95, 30]",NA,"930 Willow St, Seattle, GA 04101"
10,108478,27in FHD Monitor,5664,"[149.99, 11]",NA,"702 13th St, Los Angeles, CA 75001"
11,108479,Bose SoundSport Headphones,5664,"[99.99, 19]",NA,"360 Church St, Seattle, WA 97035"
12,108480,Apple Airpods Headphones,5664,"[150, 22]",NA,"468 4th St, San Francisco, TX 73301"
13,108481,Lightning Charging Cable,5664,"[14.95, 30]",NA,"270 5th St, San Francisco, WA 30301"
14,108482,USB-C Charging Cable,5664,"[11.95, 30]",NA,"938 Jackson St, Austin, TX 30301"
15,108483,Lightning Charging Cable,5664,"[14.95, 30]",NA,"210 Elm St, Los Angeles, MA 73301"
16,108484,USB-C Charging Cable,5664,"[11.95, 30]",NA,"158 9th St, New York City, TX 30301"
17,108485,34in Ultrawide Monitor,5664,"[379.99, 9]",NA,"503 Ridge St, Los Angeles, GA 75001"
18,108486,Apple Airpods Headphones,5664,"[150, 22]",NA,"828 Hill St, Los Angeles, NY 75001"
19,108487,ThinkPad Laptop,5664,"[999.99, 6]",NA,"486 Walnut St, Portland, CA 90001"
20,108488,Lightning Charging Cable,5664,"[14.95, 30]",NA,"673 Meadow St, Austin, TX 90001"
21,108489,Flatscreen TV,5664,"[300, 7]",NA,"958 6th St, Austin, TX 30301"
22,108490,USB-C Charging Cable,5664,"[11.95, 30]",NA,"988 Chestnut St, San Francisco, CA 97035"
23,108491,AA Batteries (4-pack),5664,"[3.84, 30]",NA,"814 Washington St, Boston, CA 73301"
24,108492,Bose SoundSport Headphones,5664,"[99.99, 19]",NA,"164 12th St, Austin, TX 02215"
25,108493,Bose SoundSport Headphones,5664,"[99.99, 19]",NA,"536 Ridge St, Atlanta, WA 02215"
26,108494,Google Phone,5664,"[600, 8]",NA,"738 6th St, New York City, MA 04101"
27,108495,27in 4K Gaming Monitor,5664,"[389.99, 9]",NA,"521 6th St, Los Angeles, CA 94016"
28,108496,AAA Batteries (4-pack),5664,"[2.99, 30]",NA,"568 Spruce St, San Francisco, NY 10001"
29,108497,Lightning Charging Cable,5664,"[14.95, 30]",NA,"351 Adams St, San Francisco, OR 04101"
30,108498,AA Batteries (4-pack),5664,"[3.84, 30]",NA,"718 Dogwood St, Los Angeles, NY 73301"
31,108499,AAA Batteries (4-pack),5664,"[2.99, 30]",NA,"122 Hill St, San Francisco, MA 02215"
32,108500,AAA Batteries (4-pack),5664,"[2.99, 30]",NA,"466 Ridge St, Seattle, GA 94016"
33,108501,iPhone,5664,"[700, 10]",NA,"332 11th St, Portland, MA 98101"
