,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,166138,34in Ultrawide Monitor,22622,"[379.99, 9]",NA,"496 Main St, Seattle, GA 02215"
1,166139,Lightning Charging Cable,22622,"[14.95, 30]",NA,"876 Walnut St, Boston, NY 02215"
2,166140,AAA Batteries (4-pack),22622,"[2.99, 30]",NA,"712 Chestnut St, San Francisco, GA 75001"
3,166141,Apple Airpods Headphones,22622,"[150, 22]",NA,"537 Walnut St, Los Angeles, NY 04101"
4,166142,34in Ultrawide Monitor,22622,"[379.99, 9]",NA,"872 Cedar St, New York City, CA 94016"
5,166143,Bose SoundSport Headphones,22622,"[99.99, 19]",NA,"313 Center St, Dallas, CA 30301"
6,166144,Lightning Charging Cable,22622,"[14.95, 30]",NA,"898 Lake St, Austin, MA 02215"
7,166145,Bose SoundSport Headphones,22622,"[99.99, 19]",NA,"338 9th St, San Francisco, NY 30301"
8,166146,USB-C Charging Cable,22622,"[11.95, 30]",NA,"491 North St, San Francisco, TX 30301"
9,166147,Apple Airpods Headphones,22622,"[150, 22]",NA,"963 Highland St, San Francisco, GA 73301"
10,166148,AA Batteries (4-pack),22622,"[3.84, 30]",NA,"734 Elm St, Boston, ME 98101"
11,166149,AAA Batteries (4-pack),22622,"[2.99, 30]",NA,"997 Lake St, Dallas, MA 75001"
12,166150,USB-C Charging Cable,22622,"[11.95, 30]",NA,"910 1st St, Boston, TX 02215"
13,166151,34in Ultrawide Monitor,22622,"[379.99, 9]",NA,"26 12th St, San Francisco, TX 02215"
14,166152,iPhone,22622,"[700, 10]",NA,"97 Forest St, San Francisco, OR 94016"
15,166153,Bose SoundSport Headphones,22622,"[99.99, 19]",NA,"62 Adams St, San Francisco, NY 97035"
16,166154,AA Batteries (4-pack),22622,"[3.84, 30]",NA,"173 North St, Los Angeles, TX 30301"
17,166155,AAA Batteries (4-pack),22622,"[2.99, 30]",NA,"289 Center St, Atlanta, TX 94016"
18,166156,Wired Headphones,22622,"[11.99, 26]",NA,"31 13th St, Los Angeles, TX 73301"
19,166157,AAA Batteries (4-pack),22622,"[2.99, 30]",NA,"604 Elm St, Dallas, TX 97035"
20,166158,Macbook Pro Laptop,22622,"[1700, 7]",NA,"908 Highland St, Austin, CA 75001"
21,166159,Bose SoundSport Headphones,22622,"[99.99, 19]",NA,"822 Lake St, Portland, GA 90001"
22,166160,Lightning Charging Cable,22622,"[14.95, 30]",NA,"935 Park St, Portland, NY 30301"
