,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,0,Wired Headphones,1,"[11.99, 26]",NA,NA
1,1,iPhone,1,"[700, 10]",NA,NA
2,2,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
3,3,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
4,4,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
5,5,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
6,6,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
7,7,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
8,8,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
9,9,iPhone,1,"[700, 10]",NA,NA
10,10,20in Monitor,1,"[109.99, 6]",NA,NA
11,11,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
12,12,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
13,13,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
14,14,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
15,15,20in Monitor,1,"[109.99, 6]",NA,NA
16,16,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
17,17,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
18,18,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
19,19,Apple Airpods Headphones,1,"[150, 22]",NA,NA
20,20,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
21,21,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
22,22,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
23,23,20in Monitor,1,"[109.99, 6]",NA,NA
24,24,27in FHD Monitor,1,"[149.99, 11]",NA,NA
25,25,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
26,26,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
27,27,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
28,28,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
29,29,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
30,30,Apple Airpods Headphones,1,"[150, 22]",NA,NA
31,31,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
32,32,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
33,33,Wired Headphones,1,"[11.99, 26]",NA,NA
34,34,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
35,35,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
36,36,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
37,37,Apple Airpods Headphones,1,"[150, 22]",NA,NA
38,38,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
39,39,Apple Airpods Headphones,1,"[150, 22]",NA,NA
40,40,Wired Headphones,1,"[11.99, 26]",NA,NA
41,41,27in FHD Monitor,1,"[149.99, 11]",NA,NA
42,42,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
43,43,Wired Headphones,1,"[11.99, 26]",NA,NA
44,44,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
45,45,Flatscreen TV,1,"[300, 7]",NA,NA
46,46,Wired Headphones,1,"[11.99, 26]",NA,NA
47,47,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
48,48,Flatscreen TV,1,"[300, 7]",NA,NA
49,49,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
50,50,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
51,51,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
52,52,27in FHD Monitor,1,"[149.99, 11]",NA,NA
53,53,iPhone,1,"[700, 10]",NA,NA
54,54,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
55,55,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
56,56,Apple Airpods Headphones,1,"[150, 22]",NA,NA
57,57,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
58,58,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
59,59,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
60,60,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
61,61,Vareebadd Phone,1,"[400, 3]",NA,NA
62,62,iPhone,1,"[700, 10]",NA,NA
63,63,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
64,64,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
65,65,Wired Headphones,1,"[11.99, 26]",NA,NA
66,66,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
67,67,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
68,68,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
69,69,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
70,70,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
71,71,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
72,72,Google Phone,1,"[600, 8]",NA,NA
73,73,20in Monitor,1,"[109.99, 6]",NA,NA
74,74,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
75,75,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
76,76,Apple Airpods Headphones,1,"[150, 22]",NA,NA
77,77,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
78,78,Vareebadd Phone,1,"[400, 3]",NA,NA
79,79,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
80,80,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
81,81,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
82,82,Wired Headphones,1,"[11.99, 26]",NA,NA
83,83,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
84,84,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
85,85,Apple Airpods Headphones,1,"[150, 22]",NA,NA
86,86,Wired Headphones,1,"[11.99, 26]",NA,NA
87,87,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
88,88,iPhone,1,"[700, 10]",NA,NA
89,89,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
90,90,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
91,91,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
92,92,iPhone,1,"[700, 10]",NA,NA
93,93,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
94,94,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
95,95,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
96,96,Wired Headphones,1,"[11.99, 26]",NA,NA
97,97,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
98,98,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
99,99,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
100,100,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
101,101,27in FHD Monitor,1,"[149.99, 11]",NA,NA
102,102,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
103,103,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
104,104,Wired Headphones,1,"[11.99, 26]",NA,NA
105,105,Wired Headphones,1,"[11.99, 26]",NA,NA
106,106,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
107,107,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
108,108,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
109,109,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
110,110,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
111,111,Google Phone,1,"[600, 8]",NA,NA
112,112,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
113,113,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
114,114,Apple Airpods Headphones,1,"[150, 22]",NA,NA
115,115,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
116,116,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
117,117,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
118,118,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
119,119,Apple Airpods Headphones,1,"[150, 22]",NA,NA
120,120,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
121,121,Wired Headphones,1,"[11.99, 26]",NA,NA
122,122,27in FHD Monitor,1,"[149.99, 11]",NA,NA
123,123,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
124,124,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
125,125,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
126,126,Google Phone,1,"[600, 8]",NA,NA
127,127,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
128,128,Apple Airpods Headphones,1,"[150, 22]",NA,NA
129,129,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
130,130,Flatscreen TV,1,"[300, 7]",NA,NA
131,131,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
132,132,iPhone,1,"[700, 10]",NA,NA
133,133,Wired Headphones,1,"[11.99, 26]",NA,NA
134,134,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
135,135,27in FHD Monitor,1,"[149.99, 11]",NA,NA
136,136,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
137,137,20in Monitor,1,"[109.99, 6]",NA,NA
138,138,Wired Headphones,1,"[11.99, 26]",NA,NA
139,139,27in FHD Monitor,1,"[149.99, 11]",NA,NA
140,140,Wired Headphones,1,"[11.99, 26]",NA,NA
141,141,Wired Headphones,1,"[11.99, 26]",NA,NA
142,142,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
143,143,Wired Headphones,1,"[11.99, 26]",NA,NA
144,144,Apple Airpods Headphones,1,"[150, 22]",NA,NA
145,145,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
146,146,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
147,147,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
148,148,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
149,149,Apple Airpods Headphones,1,"[150, 22]",NA,NA
150,150,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
151,151,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
152,152,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
153,153,Apple Airpods Headphones,1,"[150, 22]",NA,NA
154,154,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
155,155,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
156,156,Wired Headphones,1,"[11.99, 26]",NA,NA
157,157,27in FHD Monitor,1,"[149.99, 11]",NA,NA
158,158,Apple Airpods Headphones,1,"[150, 22]",NA,NA
159,159,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
160,160,Vareebadd Phone,1,"[400, 3]",NA,NA
161,161,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
162,162,Wired Headphones,1,"[11.99, 26]",NA,NA
163,163,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
164,164,Apple Airpods Headphones,1,"[150, 22]",NA,NA
165,165,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
166,166,Wired Headphones,1,"[11.99, 26]",NA,NA
167,167,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
168,168,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
169,169,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
170,170,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
171,171,iPhone,1,"[700, 10]",NA,NA
172,172,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
173,173,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
174,174,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
175,175,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
176,176,Google Phone,1,"[600, 8]",NA,NA
177,177,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
178,178,Google Phone,1,"[600, 8]",NA,NA
179,179,Wired Headphones,1,"[11.99, 26]",NA,NA
180,180,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
181,181,Apple Airpods Headphones,1,"[150, 22]",NA,NA
182,182,Vareebadd Phone,1,"[400, 3]",NA,NA
183,183,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
184,184,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
185,185,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
186,186,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
187,187,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
188,188,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
189,189,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
190,190,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
191,191,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
