,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,49784,AAA Batteries (4-pack),9298,"[2.99, 30]",NA,"801 Lakeview St, Seattle, CA 10001"
1,49785,AAA Batteries (4-pack),9298,"[2.99, 30]",NA,"305 Center St, San Francisco, MA 94016"
2,49786,Bose SoundSport Headphones,9298,"[99.99, 19]",NA,"534 Adams St, San Francisco, GA 30301"
3,49787,Apple Airpods Headphones,9298,"[150, 22]",NA,"985 2nd St, Dallas, CA 02215"
4,49788,AA Batteries (4-pack),9298,"[3.84, 30]",NA,"496 River St, San Francisco, CA 94016"
5,49789,AAA Batteries (4-pack),9298,"[2.99, 30]",NA,"726 Maple St, San Francisco, OR 04101"
6,49790,Wired Headphones,9298,"[11.99, 26]",NA,"445 Cherry St, Los Angeles, MA 10001"
7,49791,AAA Batteries (4-pack),9298,"[2.99, 30]",NA,"382 Meadow St, San Francisco, TX 90001"
8,49792,AA Batteries (4-pack),9298,"[3.84, 30]",NA,"472 Ridge St, Los Angeles, GA 30301"
9,49793,20in Monitor,9298,"[109.99, 6]",NA,"955 Washington St, Los Angeles, TX 90001"
10,49794,USB-C Charging Cable,9298,"[11.95, 30]",NA,"844 Meadow St, Portland, TX 73301"
11,49795,27in 4K Gaming Monitor,9298,"[389.99, 9]",NA,"838 Jackson St, San Francisco, GA 02215"
12,49796,Google Phone,9298,"[600, 8]",NA,"548 Cherry St, Seattle, CA 04101"
13,49797,Bose SoundSport Headphones,9298,"[99.99, 19]",NA,"244 Meadow St, Boston, OR 98101"
14,49798,Bose SoundSport Headphones,9298,"[99.99, 19]",NA,"533 10th St, Boston, CA 02215"
15,49799,Bose SoundSport Headphones,9298,"[99.99, 19]",NA,"150 Meadow St, San Francisco, OR 75001"
16,49800,20in Monitor,9298,"[109.99, 6]",NA,"88 4th St, New York City, GA 97035"
17,49801,USB-C Charging Cable,9298,"[11.95, 30]",NA,"776 Cedar St, Los Angeles, CA 02215"
18,49802,AA Batteries (4-pack),9298,"[3.84, 30]",NA,"733 13th St, Boston, OR 30301"
19,49803,27in 4K Gaming Monitor,9298,"[389.99, 9]",NA,"945 Pine St, Los Angeles, OR 02215"
20,49804,Wired Headphones,9298,"[11.99, 26]",NA,"37 Church St, San Francisco, NY 02215"
21,49805,Macbook Pro Laptop,9298,"[1700, 7]",NA,"131 Willow St, San Francisco, ME 04101"
22,49806,20in Monitor,9298,"[109.99, 6]",NA,"214 4th St, Los Angeles, NY 02215"
23,49807,iPhone,9298,"[700, 10]",NA,"438 1st St, Portland, MA 02215"
24,49808,Google Phone,9298,"[600, 8]",NA,"635 11th St, Los Angeles, OR 97035"
25,49809,LG Washing Machine,9298,"[600.0, 1]",NA,"313 Hickory St, Boston, GA 98101"
26,49810,USB-C Charging Cable,9298,"[11.95, 30]",NA,"618 Elm St, Los Angeles, GA 98101"
27,49811,Wired Headphones,9298,"[11.99, 26]",NA,"980 14th St, Boston, TX 73301"
28,49812,Bose SoundSport Headphones,9298,"[99.99, 19]",NA,"467 Maple St, New York City, WA 97035"
29,49813,USB-C Charging Cable,9298,"[11.95, 30]",NA,"486 8th St, San Francisco, GA 30301"
30,49814,USB-C Charging Cable,9298,"[11.95, 30]",NA,"498 9th St, San Francisco, CA 10001"
31,49815,USB-C Charging Cable,9298,"[11.95, 30]",NA,"430 Forest St, Los Angeles, ME 04101"
32,49816,34in Ultrawide Monitor,9298,"[379.99, 9]",NA,"873 Pine St, Seattle, WA 30301"
33,49817,Apple Airpods Headphones,9298,"[150, 22]",NA,"123 Willow St, Los Angeles, GA 30301"
34,49818,Lightning Charging Cable,9298,"[14.95, 30]",NA,"59 Elm St, San Francisco, TX 75001"
35,49819,Lightning Charging Cable,9298,"[14.95, 30]",NA,"212 Lincoln St, Los Angeles, CA 97035"
