,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,71148,Wired Headphones,15534,"[11.99, 26]",NA,"60 Park St, Seattle, CA 98101"
1,71149,27in 4K Gaming Monitor,15534,"[389.99, 9]",NA,"135 Cherry St, San Francisco, GA 73301"
2,71150,Macbook Pro Laptop,15534,"[1700, 7]",NA,"599 9th St, San Francisco, GA 75001"
3,71151,ThinkPad Laptop,15534,"[999.99, 6]",NA,"717 9th St, Portland, NY 02215"
4,71152,20in Monitor,15534,"[109.99, 6]",NA,"32 6th St, Los Angeles, ME 73301"
5,71153,AA Batteries (4-pack),15534,"[3.84, 30]",NA,"664 11th St, Boston, NY 94016"
6,71154,Flatscreen TV,15534,"[300, 7]",NA,"10 Main St, Atlanta, CA 97035"
7,71155,Bose SoundSport Headphones,15534,"[99.99, 19]",NA,"378 Main St, San Francisco, TX 30301"
8,71156,AAA Batteries (4-pack),15534,"[2.99, 30]",NA,"851 Church St, Portland, MA 04101"
9,71157,Wired Headphones,15534,"[11.99, 26]",NA,"811 Maple St, Los Angeles, TX 30301"
10,71158,27in 4K Gaming Monitor,15534,"[389.99, 9]",NA,"307 North St, San Francisco, TX 90001"
11,71159,Macbook Pro Laptop,15534,"[1700, 7]",NA,"667 Forest St, Los Angeles, TX 94016"
12,71160,34in Ultrawide Monitor,15534,"[379.99, 9]",NA,"823 Willow St, Seattle, TX 04101"
13,71161,Wired Headphones,15534,"[11.99, 26]",NA,"835 6th St, Dallas, MA 97035"
14,71162,USB-C Charging Cable,15534,"[11.95, 30]",NA,"233 Walnut St, New York City, WA 02215"
15,71163,iPhone,15534,"[700, 10]",NA,"918 4th St, New York City, MA 97035"
16,71164,iPhone,15534,"[700, 10]",NA,"781 13th St, Portland, TX 94016"
17,71165,AAA Batteries (4-pack),15534,"[2.99, 30]",NA,"395 12th St, Seattle, CA 04101"
18,71166,Vareebadd Phone,15534,"[400, 3]",NA,"293 Cherry St, Portland, WA 75001"
19,71167,27in 4K Gaming Monitor,15534,"[389.99, 9]",NA,"339 Lakeview St, Seattle, GA 02215"
20,71168,Vareebadd Phone,15534,"[400, 3]",NA,"234 Cherry St, San Francisco, CA 10001"
21,71169,Lightning Charging Cable,15534,"[14.95, 30]",NA,"514 Jefferson St, Los Angeles, MA 97035"
22,71170,AA Batteries (4-pack),15534,"[3.84, 30]",NA,"262 Meadow St, San Francisco, CA 02215"
