,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,0,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
1,1,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
2,2,Apple Airpods Headphones,1,"[150, 22]",NA,NA
3,3,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
4,4,27in FHD Monitor,1,"[149.99, 11]",NA,NA
5,5,Google Phone,1,"[600, 8]",NA,NA
6,6,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
7,7,Apple Airpods Headphones,1,"[150, 22]",NA,NA
8,8,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
9,9,Vareebadd Phone,1,"[400, 3]",NA,NA
10,10,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
11,11,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
12,12,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
13,13,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
14,14,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
15,15,Wired Headphones,1,"[11.99, 26]",NA,NA
16,16,Apple Airpods Headphones,1,"[150, 22]",NA,NA
17,17,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
18,18,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
19,19,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
20,20,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
21,21,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
22,22,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
23,23,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
24,24,Google Phone,1,"[600, 8]",NA,NA
25,25,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
26,26,iPhone,1,"[700, 10]",NA,NA
27,27,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
28,28,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
29,29,Google Phone,1,"[600, 8]",NA,NA
30,30,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
31,31,Apple Airpods Headphones,1,"[150, 22]",NA,NA
32,32,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
33,33,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
34,34,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
35,35,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
36,36,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
37,37,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
38,38,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
39,39,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
40,40,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
41,41,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
42,42,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
43,43,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
44,44,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
45,45,Google Phone,1,"[600, 8]",NA,NA
46,46,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
47,47,27in FHD Monitor,1,"[149.99, 11]",NA,NA
48,48,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
49,49,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
50,50,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
51,51,20in Monitor,1,"[109.99, 6]",NA,NA
52,52,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
53,53,Wired Headphones,1,"[11.99, 26]",NA,NA
54,54,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
55,55,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
56,56,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
57,57,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
