,Order Id,Product,Quantity Ordered,Price Each,Order Data,Purchase Address
0,0,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
1,1,20in Monitor,1,"[109.99, 6]",NA,NA
2,2,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
3,3,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
4,4,Flatscreen TV,1,"[300, 7]",NA,NA
5,5,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
6,6,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
7,7,LG Dryer,1,"[600.0, 1]",NA,NA
8,8,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
9,9,Wired Headphones,1,"[11.99, 26]",NA,NA
10,10,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
11,11,Vareebadd Phone,1,"[400, 3]",NA,NA
12,12,Wired Headphones,1,"[11.99, 26]",NA,NA
13,13,27in FHD Monitor,1,"[149.99, 11]",NA,NA
14,14,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
15,15,Wired Headphones,1,"[11.99, 26]",NA,NA
16,16,Google Phone,1,"[600, 8]",NA,NA
17,17,20in Monitor,1,"[109.99, 6]",NA,NA
18,18,27in FHD Monitor,1,"[149.99, 11]",NA,NA
19,19,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
20,20,Apple Airpods Headphones,1,"[150, 22]",NA,NA
21,21,Flatscreen TV,1,"[300, 7]",NA,NA
22,22,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
23,23,27in FHD Monitor,1,"[149.99, 11]",NA,NA
24,24,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
25,25,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
26,26,Flatscreen TV,1,"[300, 7]",NA,NA
27,27,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
28,28,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
29,29,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
30,30,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
31,31,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
32,32,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
